Data extracted on 23/10/2020 12:35:08 from [ESTAT];;;;;;;;;;;;;;;;
Dataset: ;Waste generated by households by year and waste category [TEN00110];;;;;;;;;;;;;;;
Last updated: ;22/10/2020 23:00;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Time frequency;;Annual;;;;;;;;;;;;;;
Unit of measure;;Tonne;;;;;;;;;;;;;;
Hazard class;;Hazardous and non-hazardous - Total;;;;;;;;;;;;;;
Classification of economic activities - NACE Rev.2;;Households;;;;;;;;;;;;;;
Waste categories;;Total waste;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
TIME;2018;;;;;;;;;;;;;;;
GEO (Labels);;;;;;;;;;;;;;;;
European Union - 27 countries (from 2020);189 840 000;;;;;;;;;;;;;;;
European Union - 28 countries (2013-2020);216 250 000;;;;;;;;;;;;;;;
Euro area - 19 countries  (from 2015);:;;;;;;;;;;;;;;;
Belgium;4 885 123;;;;;;;;;;;;;;;
Bulgaria;3 145 709;;;;;;;;;;;;;;;
Czechia;3 724 150;;;;;;;;;;;;;;;
Denmark;3 499 512;;;;;;;;;;;;;;;
Germany (until 1990 former territory of the FRG);37 308 892;;;;;;;;;;;;;;;
Estonia;548 242;;;;;;;;;;;;;;;
Ireland;1 591 220;;;;;;;;;;;;;;;
Greece;4 607 377;p;;;;;;;;;;;;;;
Spain;22 699 262;;;;;;;;;;;;;;;
France;29 742 291;;;;;;;;;;;;;;;
Croatia;1 293 535;;;;;;;;;;;;;;;
Italy;30 164 517;;;;;;;;;;;;;;;
Cyprus;386 668;;;;;;;;;;;;;;;
Latvia;577 587;;;;;;;;;;;;;;;
Lithuania;1 416 112;;;;;;;;;;;;;;;
Luxembourg;190 568;;;;;;;;;;;;;;;
Hungary;2 742 655;;;;;;;;;;;;;;;
Malta;183 880;;;;;;;;;;;;;;;
Netherlands;8 654 844;;;;;;;;;;;;;;;
Austria;4 407 376;;;;;;;;;;;;;;;
Poland;9 237 540;;;;;;;;;;;;;;;
Portugal;5 213 148;bp;;;;;;;;;;;;;;
Romania;4 178 208;;;;;;;;;;;;;;;
Slovenia;643 342;;;;;;;;;;;;;;;
Slovakia;2 254 089;;;;;;;;;;;;;;;
Finland;2 037 761;;;;;;;;;;;;;;;
Sweden;4 505 131;;;;;;;;;;;;;;;
United Kingdom;26 410 926;;;;;;;;;;;;;;;
Iceland;519 927;;;;;;;;;;;;;;;
Liechtenstein;:;;;;;;;;;;;;;;;
Norway;2 418 104;;;;;;;;;;;;;;;
Switzerland;:;;;;;;;;;;;;;;;
Montenegro;261 154;p;;;;;;;;;;;;;;
North Macedonia;0;;;;;;;;;;;;;;;
Albania;:;;;;;;;;;;;;;;;
Serbia;1 863 029;;;;;;;;;;;;;;;
Turkey;28 099 214;;;;;;;;;;;;;;;
Bosnia and Herzegovina;920 541;;;;;;;;;;;;;;;
Kosovo (under United Nations Security Council Resolution 1244/99);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;
Available flags:;;;;;;;;;;;;;;;;
bp;break in time series, provisional;;;;;;;;;;;;;;;
b;break in time series;;;;;;;;;;;;;;;
e;estimated;;;;;;;;;;;;;;;
p;provisional;;;;;;;;;;;;;;;
s;Eurostat estimate;;;;;;;;;;;;;;;